,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KCNQ1OT1,15.711411244872362,1.9911141772818168,0.6118930410069412,3.2540232423712596,0.0011378297006688018,0.03718341587845971
ARID5B,113.50576656443795,1.977899668140624,0.5518823683929387,3.583915307713482,0.00033848187840302286,0.016436933085814082
AP3S1,33.83047550612288,1.9760745430709812,0.4014981548325248,4.921752489485917,8.57726494750409e-07,0.00018569778611346354
OAT,21.458283292119003,1.8347951557358848,0.5031539365426619,3.6465880965641904,0.00026574539637343945,0.01438346957871241
IMPDH2,13.438055168188594,1.8329116288312648,0.5562476781524648,3.295135783611977,0.0009837413347116928,0.033628420889223395
ROCK1,12.877482995095622,1.8136924299862585,0.542843357137607,3.3410972173442293,0.0008344799802953906,0.030220736775453484
ZNF106,4.859885661521353,1.7483604768935204,0.5512927360979015,3.1713831190096387,0.0015171490716166269,0.04583201497744182
ESD,65.63732857364761,1.7161917061101464,0.5343144158464849,3.2119509697137376,0.0013183687325424539,0.04176978008713774
CCDC107,22.426721064043413,1.6765565736530037,0.47700573419176434,3.514751403342669,0.0004401658221602207,0.02006229484161848
RPS27L,248.71238624084108,1.2548418386208398,0.34806300858223244,3.605214595288928,0.00031189509373989065,0.01558275872185069
YWHAQ,118.9969628035069,1.1526347778526767,0.29891985526391035,3.855999384299978,0.00011525777736440598,0.007879992252440177
OSTC,43.0847221474448,1.0218335597369474,0.29886817984515,3.4190108838832596,0.0006284921248296959,0.025229480155547063
MYL6,1444.7173796063407,0.9209556708220574,0.2950799187585008,3.1210381062080526,0.00180214712683511,0.04892726975234451
EEF2,351.8940375971611,0.8398582080046559,0.16604395772320735,5.0580473961279955,4.235711725446111e-07,0.00010003980966099089
